Time,MicRef,MicTar,Delay,Score
0.2,1,5,-0.005238095238095238,0.8337937789394346
0.4,1,5,4.5351473922902495e-05,0.7116900350070374
0.4,1,5,0.0025170068027210884,0.7076142124671416
0.4,1,5,0.005011337868480726,0.7013427247346854
0.4,1,5,0.007505668934240363,0.6942129350798026
0.4,1,5,0.009977324263038548,0.6868848228669177
0.4,1,5,0.012448979591836735,0.6796998764460904
0.4,1,5,0.014943310657596371,0.6720115647049563
0.4,1,5,0.017392290249433107,0.6639267033621167
0.4,1,5,0.019863945578231294,0.6555015347746506
0.4,1,5,0.02233560090702948,0.6460584021827462
0.4,1,5,0.024784580498866213,0.6344024588971067
0.4,1,5,0.02723356009070295,0.6193757421340497
0.4,1,5,0.029659863945578232,0.6009925028002521
0.6,1,5,-0.002494331065759637,0.665093055672277
0.6,1,5,0.0008616780045351474,0.6915759477967526
0.6,1,5,0.0033786848072562357,0.7069852744947134
0.6,1,5,0.006031746031746032,0.7209978035572738
0.6,1,5,0.008412698412698413,0.7327096721168883
0.6,1,5,0.010793650793650795,0.7430614719727194
0.6,1,5,0.01328798185941043,0.7537085831921277
0.6,1,5,0.01580498866213152,0.763894730749896
0.6,1,5,0.018163265306122448,0.7730651489850662
0.6,1,5,0.020521541950113378,0.7816581658985988
0.6,1,5,0.02290249433106576,0.7882811390848962
0.6,1,5,0.025238095238095237,0.7930360317301742
0.6,1,5,0.02759637188208617,0.7948615172417073
0.6,1,5,0.0299546485260771,0.7930947180082444
0.6,1,5,0.03231292517006803,0.7875420785724816
0.6,1,5,0.03464852607709751,0.777760654323163
0.6,1,5,0.03727891156462585,0.7625129838741915
0.8,1,5,-0.018662131519274375,0.5118640809052052
0.8,1,5,-0.014988662131519274,0.5464037988012872
0.8,1,5,-0.002494331065759637,0.665112359260341
0.8,1,5,0.0008616780045351474,0.6915983901343183
0.8,1,5,0.0033786848072562357,0.707012372176836
0.8,1,5,0.006031746031746032,0.7210306501831936
0.8,1,5,0.008412698412698413,0.7327415736039943
0.8,1,5,0.010793650793650795,0.743100810158349
0.8,1,5,0.01328798185941043,0.7537396198435813
0.8,1,5,0.01580498866213152,0.7639205970589248
0.8,1,5,0.018163265306122448,0.7730907855327215
0.8,1,5,0.020521541950113378,0.7816848158336723
0.8,1,5,0.02290249433106576,0.7883047009961074
0.8,1,5,0.025238095238095237,0.793064039340522
0.8,1,5,0.02759637188208617,0.7948840758068745
0.8,1,5,0.0299546485260771,0.7931145249731677
0.8,1,5,0.03231292517006803,0.7875556473436731
0.8,1,5,0.03464852607709751,0.7777802901180736
0.8,1,5,0.03727891156462585,0.7627920357025038
1.0,1,5,-0.012290249433106576,0.9308400171774999
1.2,1,4,-0.030975056689342403,0.34585862956056473
1.2,1,5,-0.014920634920634921,0.7566955820170537
1.2,1,8,-0.038276643990929705,0.3266123528419368
1.4,1,4,-0.044149659863945576,0.5091595376168753
1.4,1,5,0.0,0.7500256873339716
1.4,1,8,-0.04782312925170068,0.5790949127364422
1.6,1,4,-0.047165532879818596,0.53474966220156
1.6,1,5,0.0,0.6890796287355919
1.8,1,5,-0.024036281179138322,0.9834100208325324
2.0,1,2,0.021904761904761906,0.24520470835181146
2.0,1,2,0.02417233560090703,0.26379348523284707
2.0,1,2,0.026462585034013605,0.2791302247234727
2.0,1,2,0.02893424036281179,0.29366764136109175
2.0,1,2,0.031247165532879817,0.30540124369900484
2.0,1,2,0.033560090702947847,0.31716430808638646
2.0,1,2,0.035873015873015876,0.32894357173847427
2.0,1,2,0.03820861678004535,0.3413098874249753
2.0,1,2,0.04052154195011338,0.35379913790712886
2.0,1,2,0.04285714285714286,0.36695491786129736
2.0,1,2,0.04521541950113379,0.37977928023398255
2.0,1,2,0.047551020408163266,0.39294093700328997
2.0,1,2,0.049909297052154196,0.4050763656522619
2.0,1,5,-0.029229024943310658,0.8190429496148421
2.0,1,5,-0.026938775510204082,0.8226487351894826
2.0,1,5,-0.024467120181405896,0.8201921761550577
2.0,1,5,-0.012834467120181405,0.7630497957038772
2.0,1,6,0.015011337868480726,0.3698622408084531
2.0,1,6,0.01748299319727891,0.387178421861982
2.0,1,6,0.019750566893424037,0.401843754691718
2.0,1,6,0.02201814058956916,0.4157435522458402
2.0,1,6,0.024308390022675735,0.4287189682178323
2.0,1,6,0.02657596371882086,0.4413600932290707
2.0,1,6,0.028866213151927438,0.45402666662588304
2.0,1,6,0.031179138321995464,0.4667444995567743
2.0,1,6,0.03346938775510204,0.4789141794966237
2.0,1,6,0.03578231292517007,0.49056989357347836
2.0,1,6,0.0380952380952381,0.5011533097811374
2.0,1,6,0.04043083900226757,0.5109869230009235
2.0,1,6,0.04276643990929705,0.5198807352652532
2.0,1,6,0.04510204081632653,0.5280340373919666
2.0,1,6,0.04746031746031746,0.535753762096795
2.0,1,6,0.04981859410430839,0.5429255614232155
2.2,1,5,-0.030793650793650793,0.7936333071811803
2.2,1,5,-0.028480725623582767,0.7991007727272902
2.2,1,5,-0.026167800453514738,0.8009340778226213
