# Temps,Bird_ID,X,Y,Z
2.7500,0.0000,37.5001,37.5001,18.0034
2.8000,1.0000,29.5000,10.0000,31.4551
2.8000,0.0000,38.0001,38.0001,18.2051
2.8500,1.0000,29.3125,10.0000,31.6238
2.8500,0.0000,38.5001,38.5001,18.4050
2.9000,1.0000,29.1250,10.0000,31.7907
2.9000,0.0000,39.0001,39.0001,18.6032
2.9500,0.0000,39.5001,39.5001,18.7997
2.9500,1.0000,28.9375,10.0000,31.9560
3.0000,1.0000,28.7500,10.0000,32.1194
3.0000,0.0000,40.0001,40.0001,18.9944
3.0500,0.0000,40.5001,40.5001,19.1874
3.0500,1.0000,28.5625,10.0000,32.2811
3.1000,0.0000,41.0001,41.0001,19.3785
3.1000,1.0000,28.3750,10.0000,32.4410
3.1500,1.0000,28.1875,10.0000,32.5991
3.1500,0.0000,41.5001,41.5001,19.5678
3.2000,1.0000,28.0000,10.0000,32.7553
3.2000,0.0000,42.0001,42.0001,19.7553
3.2500,1.0000,27.8125,10.0000,32.9097
3.2500,0.0000,42.5001,42.5001,19.9410
3.3000,0.0000,43.0001,43.0001,20.1248
3.3000,1.0000,27.6250,10.0000,33.0623
3.3500,0.0000,43.5001,43.5001,20.3068
3.3500,1.0000,27.4375,10.0000,33.2130
3.4000,1.0000,27.2500,10.0000,33.3619
3.4000,0.0000,44.0001,44.0001,20.4869
3.4500,1.0000,27.0625,10.0000,33.5089
3.4500,0.0000,44.5001,44.5001,20.6651
3.5000,0.0000,45.0001,45.0001,20.8415
3.5000,1.0000,26.8750,10.0000,33.6540
3.5500,1.0000,26.6875,10.0000,33.7972
3.5500,0.0000,45.5001,45.5001,21.0159
3.6000,1.0000,26.5000,10.0000,33.9385
3.6000,0.0000,46.0001,46.0001,21.1885
3.6500,1.0000,26.3125,10.0000,34.0779
3.6500,0.0000,46.5001,46.5001,21.3591
3.7000,0.0000,47.0001,47.0001,21.5279
3.7000,1.0000,26.1250,10.0000,34.2154
3.7500,0.0000,47.5001,47.5001,21.6947
3.7500,1.0000,25.9375,10.0000,34.3510
3.8000,0.0000,48.0001,48.0001,21.8596
3.8000,1.0000,25.7500,10.0000,34.4846
3.8500,0.0000,48.5001,48.5001,22.0226
3.8500,1.0000,25.5625,10.0000,34.6164
3.9000,0.0000,49.0001,49.0001,22.1837
3.9000,1.0000,25.3750,10.0000,34.7462
3.9500,1.0000,25.1875,10.0000,34.8741
3.9500,0.0000,49.5001,49.5001,22.3428
4.0000,0.0000,50.0001,50.0001,22.5000
4.0000,1.0000,25.0000,10.0000,35.0000
4.0500,1.0000,24.8125,10.0000,35.1241
4.0500,0.0000,50.5001,50.5001,22.6553
4.1000,0.0000,51.0001,51.0001,22.8087
4.1000,1.0000,24.6250,10.0000,35.2462
4.1500,0.0000,51.5001,51.5001,22.9601
4.1500,1.0000,24.4375,10.0000,35.3664
4.2000,0.0000,52.0001,52.0001,23.1096
4.2000,1.0000,24.2500,10.0000,35.4846
4.2500,1.0000,24.0625,10.0000,35.6010
4.2500,0.0000,52.5001,52.5001,23.2572
4.3000,1.0000,23.8750,10.0000,35.7154
4.3000,0.0000,53.0001,53.0001,23.4029
4.3500,1.0000,23.6875,10.0000,35.8279
4.3500,0.0000,53.5001,53.5001,23.5466
4.4000,0.0000,54.0001,54.0001,23.6885
4.4000,1.0000,23.5000,10.0000,35.9385
4.4500,0.0000,54.5001,54.5001,23.8284
4.4500,1.0000,23.3125,10.0000,36.0472
4.5000,1.0000,23.1250,10.0000,36.1540
4.5000,0.0000,55.0001,55.0001,23.9665
4.5500,0.0000,55.5001,55.5001,24.1026
4.5500,1.0000,22.9375,10.0000,36.2589
4.6000,0.0000,56.0001,56.0001,24.2369
4.6000,1.0000,22.7500,10.0000,36.3619
4.6500,1.0000,22.5625,10.0000,36.4630
4.6500,0.0000,56.5001,56.5001,24.3693
4.7000,0.0000,57.0001,57.0001,24.4998
4.7000,1.0000,22.3750,10.0000,36.5623
4.7500,0.0000,57.5001,57.5001,24.6285
4.7500,1.0000,22.1874,10.0000,36.6597
4.8000,1.0000,21.9999,10.0000,36.7553
4.8000,0.0000,58.0001,58.0001,24.7553
4.8500,1.0000,21.8124,10.0000,36.8491
4.8500,0.0000,58.5001,58.5001,24.8803
4.9000,0.0000,59.0001,59.0001,25.0035
4.9000,1.0000,21.6249,10.0000,36.9410
4.9500,0.0000,59.5001,59.5001,25.1249
4.9500,1.0000,21.4374,10.0000,37.0311
5.0000,0.0000,60.0001,60.0001,25.2444
5.0000,1.0000,21.2499,10.0000,37.1194
5.0500,1.0000,21.0624,10.0000,37.2060
5.0500,0.0000,60.5001,60.5001,25.3622
5.1000,1.0000,20.8749,10.0000,37.2907
